	"Wizard"	"System role selection"	"FQDN"	"WindDom"	"LDAP-Base"	"Root-Pwd"	"FF-beenden"	"Zertifikat-Seite"	"Ext. DNS-Server"	"Nameserver"	"Hinweis Samba 3/4 Installation "	"Hinweis Software-Installation"	"Hinweis Netzwerkänderungen"	"Neustart UMC-Server"
"unjoined, local or external"														
"Primary Directory Node"	"ja"	"ja"	"Leer + required"	"Leer + required + autofill"	"Leer + required + autofill"	"required"	"ja"	"ja, ohne Warnung"	"ja"	"nein"	"nein"	"nein"	"nein"	"via UMC Modul"
"Primary → Backup Directory Node"	"---"	"---"	"Leer + required"	"Leer + required + autofill"	"nein"	"required"	"ja"	"nein"	"ja"	"ja + required"	"ja"	"nein"	"nein"	"via UMC Modul"
"Primary → Replica Directory Node"	"---"	"---"	"Leer + required"	"Leer + required + autofill"	"nein"	"required"	"ja"	"nein"	"ja"	"ja + required"	"ja"	"nein"	"nein"	"via UMC Modul"
"Primary Directory Node → Managed Node"	"---"	"---"	"Leer + required"	"Leer + required + autofill"	"nein"	"required"	"ja"	"nein"	"nein"	"ja + required"	"nein"	"nein"	"nein"	"via UMC Modul"
"Primary Directory Node → Basesystem"	"---"	"---"	"Leer + required"	"Leer + optional"	"Leer + optional"	"required"	"ja"	"nein"	"nein"	"ja"	"nein"	"nein"	"nein"	"via UMC Modul"
														
"joined, local"														
"Primary Directory Node"	"nein"	"nein"	"disabled"	"disabled"	"disabled"	"optional"	"ja"	"ja, mit Warnung"	"ja"	"ja + required"	"nein"	"nein"	"nein"	"nur bei IP-Addr.- und SSL-Änderungen via Modul"
														
"joined, external"														
"Primary Directory Node"	"nein"	"nein"	"disabled"	"disabled"	"disabled"	"optional"	"nein"	"ja, mit Warnung"	"ja"	"ja + required"	"nein"	"ja"	"ja"	"nur bei IP-Addr.- und SSL-Änderungen via Modul"
														
"joined or unjoined, local"														
"Backup Directory Node"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"
"Replica Directory Node"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"
"Managed Node"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"
"Basesystem"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"
														
"joined or unjoined, external"														
"Backup Directory Node"	"nein"	"nein"	"disabled"	"disabled"	"nein"	"optional"	"nein"	"nein"	"ja"	"ja + required"	"ja"	"ja"	"ja"	"nur bei IP-Addr.- und SSL-Änderungen via Modul"
"Replica Directory Node"	"nein"	"nein"	"disabled"	"disabled"	"nein"	"optional"	"nein"	"nein"	"ja"	"ja + required"	"ja"	"ja"	"ja"	"nur bei IP-Addr.- und SSL-Änderungen via Modul"
"Managed Node"	"nein"	"nein"	"disabled"	"disabled"	"nein"	"optional"	"nein"	"nein"	"nein"	"ja + required"	"nein"	"ja"	"ja"	"nur bei IP-Addr.- und SSL-Änderungen via Modul"
"Basesystem"	"nein"	"nein"	"Gesetzt + required"	"Gesetzt + optional"	"Gesetzt + optional"	"optional"	"nein"	"nein"	"nein"	"ja"	"nein"	"ja"	"ja"	"nur bei IP-Addr.- und SSL-Änderungen via Modul"
